,Nombre,Pista 1,Pista 2,Pista 3,Pista 4,Pista 5,Pista 6
9,Egipto,Pertenece al continente de África,Su forma de gobierno es República Semipresidencial,"Celebra su independencia el 28 de febrero de 1922, tras el fin del protectorado británico.",Su tipo de moneda es la Libra,Su capital es El Cairo,El río más largo del mundo atraviesa este país.
11,Etiopía,Pertenece al continente de África,Su forma de gobierno es República Parlamentaria,Su día nacional es el 23 de julio.,Su tipo de moneda es el Birr,Su capital es Addis Abeba,Es el único país africano que no fue colonizado.
5,Brasil,Pertenece al continente de América,Su forma de gobierno es República Federal,Celebra su independencia el 7 de septiembre de 1822.,Su tipo de moneda es el Real,Su capital es Brasilia,"Es el país más grande de Sudamérica, cubriendo el 47% de su territorio."
6,Canadá,Pertenece al continente de América,Su forma de gobierno es Monarquía Constitucional,Celebra su consolidación el 1 de julio de 1867.,Su tipo de moneda es el Dólar,Su capital es Otawwa,"Tiene el segundo territorio más extenso del mundo, después de Rusia."
3,Argentina,Pertenece al continente de América,Su forma de gobierno es República Federal,Celebra su independencia el 9 de julio de 1816.,Su tipo de moneda es el Peso,Su capital es Buenos Aires,Es el país más austral de Sudamérica y alberga parte de la Patagonia.
8,Colombia,Pertenece al continente de América,Su forma de gobierno es República Unitaria,Celebra su independencia el 20 de julio de 1810.,Su tipo de moneda es el Peso,Su capital es Bogotá,"Es uno de los países más biodiversos, con acceso al Océano Pacífico y al Atlántico."
7,China,Pertenece al continente de Asia,Su forma de gobierno es República Popular,Celebra su consolidación el 1 de octubre de 1949.,Su tipo de moneda es el Yuan,Su capital es Pekín,"Es el país más poblado del mundo, con más de 1.400 millones de habitantes."
15,Japón,Pertenece al continente de Asia,Su forma de gobierno es Monarquía Constitucional,"Celebra su consolidación el 3 de mayo de 1947, con la promulgación de la nueva constitución.",Su tipo de moneda es el Yen,Su capital es Tokio,Es un archipiélago compuesto por más de 6.800 islas.
2,Arabia Saudita,Pertenece al continente de Asia,Su forma de gobierno es Monarquía Absoluta,Celebra su consolidación el 23 de septiembre.,Su tipo de moneda es el Riyalí,Su capital es Riad,Es el país más grande de la península arábiga.
20,Vietnam,Pertenece al continente de Asia,Su forma de gobierno es República Socialista,Celebra su independencia el 2 de septiembre de 1945.,Su tipo de moneda es el Dong,Su capital es Hanói,Es el principal productor mundial de anacardos y pimienta negra.
13,Francia,Pertenece al continente de Europa,Su forma de gobierno es República Semipresidencial,Celebra su consolidación el 14 de julio.,Su tipo de moneda es el Euro,Su capital es París,Tiene la mayor cantidad de husos horarios del mundo (12).
1,Alemania,Pertenece al continente de Europa,Su forma de gobierno es República Federal,Celebra su consolidación el 3 de octubre de 1990.,Su tipo de moneda es el Euro,Su capital es Berlín,Es el país con la mayor economía de Europa.
18,Reino Unido,Pertenece al continente de Europa,Su forma de gobierno es Monarquía Constitucional,Celebra su consolidación el 23 de junio.,Su tipo de moneda es el Euro,Su capital es Londres,"Está compuesto por cuatro países: Inglaterra, Escocia, Gales e Irlanda del Norte."
14,Italia,Pertenece al continente de Europa,Su forma de gobierno es República Parlamentaria,Celebra su consolidación el 2 de junio de 1946.,Su tipo de moneda es el Euro,Su capital es Roma,Su capital tiene una historia que se extiende por más de 2.500 años.
10,España,Pertenece al continente de Europa,Su forma de gobierno es Monarquía Parlamentaria,Celebra su consolidación el 12 de octubre.,Su tipo de moneda es el Euro,Su capital es Madrid,Es el tercer país más grande de Europa Occidental.
4,Australia,Pertenece al continente de Oceanía,Su forma de gobierno es Monarquía Constitucional,Celebra su consolidación el 26 de enero.,Su tipo de moneda es el Dólar,Su capital es Canberra,Es el único país que es también un continente.
16,Nueva Zelanda,Pertenece al continente de Oceanía,Su forma de gobierno es Monarquía Constitucional,Celebra su consolidación el 6 de febrero.,Su tipo de moneda es el Dólar,Su capital es Wellington,Fue el primer país en dar el voto a las mujeres en 1893.
12,Fiyi,Pertenece al continente de Oceanía,Su forma de gobierno es República Parlamentaria,Celebra su independencia el 10 de octubre de 1970,Su tipo de moneda es el Dólar,Su capital es Suva,"Está formado por más de 330 islas, de las cuales 110 están habitadas."
17,Papúa Nueva Guinea,Pertenece al continente de Oceanía,Su forma de gobierno es Monarquía Constitucional,Celebra su independencia el 16 de septiembre de 1975.,Su tipo de moneda es la Kina,Su capital es Puerto Moresby,Comparte la isla de Nueva Guinea con Indonesia.
19,Samoa,Pertenece al continente de Oceanía,Su forma de gobierno es República Parlamentaria,Celebra su independencia el 1 de enero de 1962.,Su tipo de moneda es la Tala,Su capital es Apia,"Cambió su huso horario en 2011, moviéndose al lado occidental de la línea internacional de cambio de fecha."
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
